Name,Team,xG,xA,xG90,xA90
Kurt Zouma,Everton,1.27-0.73,0.44-1.56,0.04,0.02
Lucas Torreira,Arsenal,1.80-0.20,1.71-0.29,0.07,0.07
Jorginho,Chelsea,1.30-0.70,3.07+3.07,0.04,0.09
Marcos Alonso,Chelsea,3.56+1.56,3.92-0.08,0.12,0.13
Robert Snodgrass,West Ham,2.26+0.26,5.18+0.18,0.09,0.21
Shkodran Mustafi,Arsenal,1.86-0.14,0.28+0.28,0.06,0.01
Jefferson Lerma,Bournemouth,1.09-0.91,1.01+1.01,0.04,0.04
Ricardo Pereira,Leicester,1.18-0.82,5.13-0.87,0.03,0.15
Romain Saiss,Wolverhampton Wanderers,1.29-0.71,0.73+0.73,0.10,0.06
Steve Mounie,Huddersfield,5.63+3.63,1.87-1.13,0.29,0.09
Anthony Knockaert,Brighton,2.11+0.11,4.21-1.79,0.10,0.21
Naby Keita,Liverpool,2.55+0.55,1.07+0.07,0.16,0.07
Wilfred Ndidi,Leicester,3.12+1.12,1.69+1.69,0.08,0.05
Declan Rice,West Ham,1.23-0.77,0.64+0.64,0.04,0.02
Scott McTominay,Manchester United,1.59-0.41,0.02+0.02,0.17,0.00
Philip Billing,Huddersfield,1.66-0.34,1.82+1.82,0.07,0.07
Lewis Dunk,Brighton,1.76-0.24,0.75-0.25,0.05,0.02
Will Hughes,Watford,2.97+0.97,3.66-0.34,0.11,0.13
Andriy Yarmolenko,West Ham,1.25-0.75,0.70+0.70,0.25,0.14
Jürgen Locadia,Brighton,3.39+1.39,0.96+0.96,0.25,0.07
Ryan Sessegnon,Fulham,4.27+2.27,3.99-2.01,0.17,0.16
Leander Dendoncker,Wolverhampton Wanderers,4.17+2.17,1.29+1.29,0.25,0.08
Yan Valery,Southampton,0.72-1.28,0.25-0.75,0.04,0.01
Yoshinori Muto,Newcastle United,1.02+0.02,0.31+0.31,0.18,0.06
Joel Matip,Liverpool,0.90-0.10,0.18+0.18,0.05,0.01
Max Meyer,Crystal Palace,1.98+0.98,1.07-0.93,0.13,0.07
Sokratis,Arsenal,0.83-0.17,0.63-1.37,0.03,0.03
Leon Balogun,Brighton,0.08-0.92,0.00,0.01,0.00
Steve Cook,Bournemouth,1.46+0.46,1.15+0.15,0.05,0.04
Charlie Daniels,Bournemouth,0.62-0.38,0.46+0.46,0.04,0.03
Jordon Ibe,Bournemouth,0.78-0.22,0.42-0.58,0.09,0.05
Nacho Monreal,Arsenal,1.23+0.23,2.01-0.99,0.06,0.10
Alexis Sánchez,Manchester United,1.71+0.71,3.55+0.55,0.18,0.36
Danny Welbeck,Arsenal,0.79-0.21,0.28-0.72,0.52,0.19
Joel Ward,Crystal Palace,0.92-0.08,0.12+0.12,0.15,0.02
Angelo Ogbonna,West Ham,1.02+0.02,1.16+0.16,0.05,0.06
James Tomkins,Crystal Palace,0.90-0.10,1.37+0.37,0.03,0.05
Manuel Lanzini,West Ham,1.18+0.18,0.96-0.04,0.15,0.12
Etienne Capoue,Watford,1.30+0.30,1.37-1.63,0.04,0.04
Phil Jagielka,Everton,0.63-0.37,0.10+0.10,0.17,0.03
Aaron Lennon,Burnley,0.92-0.08,0.66-0.34,0.07,0.05
Tom Cleverley,Watford,0.17-0.83,0.11+0.11,0.03,0.02
Dejan Lovren,Liverpool,0.91-0.09,0.11+0.11,0.08,0.01
Jordan Henderson,Liverpool,1.51+0.51,1.69-1.31,0.07,0.08
Christian Benteke,Crystal Palace,3.73+2.73,1.19+0.19,0.42,0.13
Vincent Kompany,Manchester City,0.24-0.76,0.07+0.07,0.02,0.01
Fernandinho,Manchester City,1.72+0.72,3.13+0.13,0.06,0.12
Kelechi Iheanacho,Leicester,2.58+1.58,1.34-1.66,0.25,0.13
Chris Smalling,Manchester United,1.11+0.11,0.12+0.12,0.05,0.01
Kyle Walker,Manchester City,0.73-0.27,1.94+0.94,0.02,0.06
Jan Vertonghen,Tottenham,1.01+0.01,0.24+0.24,0.05,0.01
Kieran Trippier,Tottenham,0.46-0.54,4.85+1.85,0.02,0.19
Jordan Ayew,Crystal Palace,2.65+1.65,1.20-0.80,0.20,0.09
César Azpilicueta,Chelsea,1.26+0.26,2.42-2.58,0.03,0.06
Kenedy,Newcastle United,2.41+1.41,0.82-0.18,0.16,0.05
Nemanja Matic,Manchester United,1.71+0.71,0.56+0.56,0.06,0.02
Jack Cork,Burnley,1.52+0.52,2.26+0.26,0.04,0.06
DeAndre Yedlin,Newcastle United,1.19+0.19,2.15+0.15,0.04,0.08
Jonjo Shelvey,Newcastle United,0.72-0.28,1.86+0.86,0.07,0.18
Ryan Bennett,Wolverhampton Wanderers,1.00,0.79+0.79,0.03,0.02
Jonny Evans,Leicester,0.53-0.47,0.28+0.28,0.02,0.01
Adam Smith,Bournemouth,0.60-0.40,0.58-0.42,0.03,0.02
Ryan Bertrand,Southampton,1.26+0.26,1.72+1.72,0.05,0.07
Victor Wanyama,Tottenham,1.08+0.08,0.06+0.06,0.19,0.01
Oriol Romeu,Southampton,0.96-0.04,1.71+1.71,0.04,0.07
Cédric Soares,Southampton,0.27-0.73,1.14-0.86,0.02,0.07
Matt Targett,Southampton,0.60-0.40,2.12-0.88,0.05,0.16
Adama Traoré,Wolverhampton Wanderers,1.26+0.26,2.20+1.20,0.13,0.23
Andreas Pereira,Manchester United,0.27-0.73,0.88-0.12,0.04,0.13
Harry Winks,Tottenham,1.09+0.09,0.24+0.24,0.06,0.01
Luke Shaw,Manchester United,1.53+0.53,4.32+0.32,0.05,0.15
Matej Vydra,Burnley,1.92+0.92,0.50-0.50,0.56,0.15
Mario Lemina,Southampton,0.90-0.10,1.32+0.32,0.05,0.07
Manolo Gabbiadini,Southampton,1.76+0.76,0.24+0.24,0.34,0.05
